ExperimentName,Subject,Session,Clock.Information,Display.RefreshRate,Group,PreTaskInstruc.DurationError,PreTaskInstruc.OnsetDelay,PreTaskInstruc.OnsetTime,RandomSeed,Ready1.OnsetTime,Ready1.RTTime,Ready2.OnsetTime,Ready2.RT,SessionDate,SessionTime,SessionTimeUtc,Block,AwareFaces.DurationError[Block],AwareFaces.OnsetDelay[Block],AwareFaces.OnsetTime[Block],BottomFace[Block],bottommask[Block],BottomProbe[Block],EmoPosition[Block],ExperBlockList,ExperBlockList.Cycle,ExperBlockList.Sample,Face[Block],PracTrialList,PracTrialList.Cycle,PracTrialList.Sample,Probe[Block],ProbePosition[Block],Procedure[Block],Running[Block],StimDuration[Block],Target.ACC[Block],Target.CRESP[Block],Target.DurationError[Block],Target.OnsetDelay[Block],Target.OnsetTime[Block],Target.RESP[Block],Target.RT[Block],Target.RTTime[Block],TopFace[Block],topmask[Block],TopProbe[Block],TrialType[Block],Valence[Block],Trial,AwareFaces.DurationError[Trial],AwareFaces.OnsetDelay[Trial],AwareFaces.OnsetTime[Trial],BottomFace[Trial],bottommask[Trial],BottomProbe[Trial],EmoPosition[Trial],Face[Trial],Probe[Trial],ProbePosition[Trial],Procedure[Trial],Running[Trial],StimDuration[Trial],Target.ACC[Trial],Target.CRESP[Trial],Target.DurationError[Trial],Target.OnsetDelay[Trial],Target.OnsetTime[Trial],Target.RESP[Trial],Target.RT[Trial],Target.RTTime[Trial],TopFace[Trial],topmask[Trial],TopProbe[Trial],TrialList,TrialList.Cycle,TrialList.Sample,TrialType[Trial],Valence[Trial]
DP_Faces_A_new_2,501,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2394030000</Frequency><Timestamp dt:dt=""r8"">1.92503061321221E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.071,1,-999999,7,184717,1194644594,116114,117831,187697,1077,5/23/13,12:51:23,7:51:23 PM,1,0,16,118361,UN.bmp,,,,,,,U,4,1,1,F,top,PracTrialProcAware,PracTrialList,500,0,,-999999,16,118877,2,750,119627,UN.bmp,,F,practice,neuneu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP_Faces_A_new_2,501,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2394030000</Frequency><Timestamp dt:dt=""r8"">1.92503061321221E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.071,1,-999999,7,184717,1194644594,116114,117831,187697,1077,5/23/13,12:51:23,7:51:23 PM,2,0,16,121175,XN.bmp,,F,,,,,X,12,1,2,F,bottom,PracTrialProcAware,PracTrialList,500,0,,-999999,16,121691,2,800,122491,XN.bmp,,,practice,neuneu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP_Faces_A_new_2,501,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2394030000</Frequency><Timestamp dt:dt=""r8"">1.92503061321221E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.071,1,-999999,7,184717,1194644594,116114,117831,187697,1077,5/23/13,12:51:23,7:51:23 PM,3,0,16,124038,VN.bmp,,E,,,,,V,5,1,3,E,bottom,PracTrialProcAware,PracTrialList,500,0,,-999999,16,124554,1,825,125379,VN.bmp,,,practice,neuneu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP_Faces_A_new_2,501,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2394030000</Frequency><Timestamp dt:dt=""r8"">1.92503061321221E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.071,1,-999999,7,184717,1194644594,116114,117831,187697,1077,5/23/13,12:51:23,7:51:23 PM,4,0,49,126951,RN.bmp,,,,,,,R,2,1,4,E,top,PracTrialProcAware,PracTrialList,500,0,,-999999,16,127467,1,640,128107,RN.bmp,,E,practice,neuneu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP_Faces_A_new_2,501,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2394030000</Frequency><Timestamp dt:dt=""r8"">1.92503061321221E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.071,1,-999999,7,184717,1194644594,116114,117831,187697,1077,5/23/13,12:51:23,7:51:23 PM,5,0,16,129648,UN.bmp,,,,,,,U,10,1,5,F,top,PracTrialProcAware,PracTrialList,500,0,,-999999,16,130164,2,583,130747,UN.bmp,,F,practice,neuneu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP_Faces_A_new_2,501,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2394030000</Frequency><Timestamp dt:dt=""r8"">1.92503061321221E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.071,1,-999999,7,184717,1194644594,116114,117831,187697,1077,5/23/13,12:51:23,7:51:23 PM,6,0,16,132295,QN.bmp,,F,,,,,Q,7,1,6,F,bottom,PracTrialProcAware,PracTrialList,500,0,,-999999,16,132811,2,864,133675,QN.bmp,,,practice,neuneu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP_Faces_A_new_2,501,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2394030000</Frequency><Timestamp dt:dt=""r8"">1.92503061321221E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.071,1,-999999,7,184717,1194644594,116114,117831,187697,1077,5/23/13,12:51:23,7:51:23 PM,7,0,16,135208,QN.bmp,,,,,,,Q,1,1,7,E,top,PracTrialProcAware,PracTrialList,500,0,,-999999,16,135724,1,559,136283,QN.bmp,,E,practice,neuneu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP_Faces_A_new_2,501,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2394030000</Frequency><Timestamp dt:dt=""r8"">1.92503061321221E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.071,1,-999999,7,184717,1194644594,116114,117831,187697,1077,5/23/13,12:51:23,7:51:23 PM,8,0,33,137839,SN.bmp,,,,,,,S,3,1,8,F,top,PracTrialProcAware,PracTrialList,500,0,,-999999,16,138355,2,504,138859,SN.bmp,,F,practice,neuneu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP_Faces_A_new_2,501,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2394030000</Frequency><Timestamp dt:dt=""r8"">1.92503061321221E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.071,1,-999999,7,184717,1194644594,116114,117831,187697,1077,5/23/13,12:51:23,7:51:23 PM,9,0,16,140402,SN.bmp,,,,,,,S,9,1,9,E,top,PracTrialProcAware,PracTrialList,500,0,,-999999,16,140918,1,541,141459,SN.bmp,,E,practice,neuneu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP_Faces_A_new_2,501,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2394030000</Frequency><Timestamp dt:dt=""r8"">1.92503061321221E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.071,1,-999999,7,184717,1194644594,116114,117831,187697,1077,5/23/13,12:51:23,7:51:23 PM,10,0,16,142999,RN.bmp,,F,,,,,R,8,1,10,F,bottom,PracTrialProcAware,PracTrialList,500,0,,-999999,16,143515,2,592,144107,RN.bmp,,,practice,neuneu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
